_id,hotelId,name,descriptions,imageLink,freeService
1,1,Laundry,"Laundry services including washing, drying, and ironing.","https://images.ctfassets.net/9hll0m1ctx1b/4eDqcbLxhcXc0EjgXzqNzB/24c8b6a1384dd94d0add0f3e591268b2/normal-par-level.jpg",true
2,1,Room Service,"24/7 room service for food and beverages.","https://www.travelandleisure.com/thmb/6rXXJymPHwQosAyHRPRnnUIRdsA=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/TAL-hotel-room-service-LUXHOTELESRVC0623-82a5c2e7df814052b438beacf9b796e2.jpg",false
3,1,Spa Services,"Relaxing spa treatments such as massages and facials.","https://www.communityamenitymanagement.com/wp-content/uploads/2022/05/93546969_presentation-wide-1024x576.jpg",false
4,1,Gym Access,"24/7 access to the gym for fitness enthusiasts.","https://images.squarespace-cdn.com/content/v1/5696733025981d28a35ef8ab/954e09df-1889-4c41-906d-e857673711d9/new+123+1.jpg",true
5,1,Swimming Pool,"Access to outdoor and indoor swimming pools.","https://www.hilton.com/im/en/YYZAPHF/15252776/pool.jpg?impolicy=crop&cw=5000&ch=3255&gravity=NorthWest&xposition=0&yposition=35&rw=768&rh=500",trues
6,1,Valet Parking,"Complimentary valet parking for guests.","https://www.valetconnections.com/wp-content/uploads/2024/04/valet-parking.jpg",false
7,1,Breakfast Buffet,"Complimentary breakfast buffet with a wide range of options.","https://media.cnn.com/api/v1/images/stellar/prod/i-stock-492301737.jpg?c=original",true
8,1,Airport Shuttle,"Airport pick-up and drop-off shuttle service.","https://cdn.torontopearson.com/-/media/project/pearson/content/travel/transportation/thumbnail-images/transportation-hotelshuttles-feature.jpg?mw=360&rev=382666b0bcec4078854e040d3e2897f9&modified=20190417133545&hash=22823D15B40ABC0B7391DD75BF525C21",false
12,1,Kids Club,"Supervised activities and play areas for children.","https://images.squarespace-cdn.com/content/v1/6644ec0aaf9f285a9c19dbaa/1715792909483-LI8A9Z13P7I43PKY46U6/JK9B3465.jpg",true
15,1,Yoga Classes,"Morning yoga sessions available in the garden or the gym area.","https://blogs.studentlife.utoronto.ca/lifeatuoft/files/2016/11/yoga-tips.jpg",true
16,1,Car Rental,"Car rental services directly from the hotel.","https://advertising.expedia.com/wp-content/uploads/2020/08/Car-Hero_1920x800.jpg",false
17,1,Bike Rentals,"Complimentary bike rentals for city exploration.","https://ychef.files.bbci.co.uk/624x351/p014kc76.jpg",true
18,1,Babysitting,"Babysitting services available upon request.","https://i3q6t2r2.rocketcdn.me/wp-content/uploads/2022/08/what-age-to-babysit-in-canada.jpg",false
19,1,Movie Nights,"Outdoor movie screenings every weekend.","https://upload.wikimedia.org/wikipedia/commons/2/2f/Sala_de_cine.jpg",true
20,1,Hot Tub Access,"Private hot tubs available in select rooms.","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjQuNnfW749OFNWzIXmgx63iSKekDcNO4JnA&s",false